"Response ID","Time Started","Date Submitted","Status","age","q1_hear_term_class_action","q2_what_is_a_class_action","אחר, פרט::q2_what_is_a_class_action","q4_class_action_past","כן, אנא פרט/י איזו תביעה הכי זכורה לך::q4_class_action_past","q5_class_action_defend_public","q6_receive_benefit","q7_receive_amount","q8_receive_how","q9_support_increased_fee","q10_why_support_increased_fee","q11_not_support_not_opposed_why","q12_opposed_why","q13_considering_filing","תקשורת:q14_filing_field","צרכנות:q14_filing_field","בנקאות:q14_filing_field","ביטוח:q14_filing_field","ניירות ערך:q14_filing_field","דיני עבודה:q14_filing_field","זיהום ופגיעה בסביבה:q14_filing_field","ספאם:q14_filing_field","אפליה על רקע גזע ודת:q14_filing_field","נגישות:q14_filing_field","תביעה נגד רשויות:q14_filing_field","אחר, פרט::q14_filing_field","אחר, פרט::q14_filing_field","q15_fee_prevent_filing","q16_quantify_compensation","אחר, פרט::q16_quantify_compensation","gender","edu","family_status","employment","income","rel","אחר, פרט::rel","rel_deg","אחר, פרט::rel_deg","city"
"10","2019-01-16 05:14:50","16/01/2019 12:22:02 pm","Complete","38","1","state_neglect","","1","קיה פיקנטו","4","1","4","cash","2","","","כי מי שאין לו יכולת להתמודד עם העלויות","0","","","","","","","","","","","","","","1","5","","female","4","married","hired","2","Jew","","Secular","","רחובות"
"11","2019-01-16 05:36:04","16/01/2019 12:39:44 pm","Complete","28","1","public_suit_individual_loss","","0","","5","0","","","4","כך יקדמו זכויות שיש להן תוכן ","","","0","","","","","","","","","","","","","","0","4","","female","4","single","hired","3","Jew","","Secular","","קריית מוצקין"
"12","2019-01-16 05:40:56","16/01/2019 12:46:53 pm","Complete","31","1","public_suit_individual_loss","","0","","4","1","27000","cash","1","","","לא יתיחסו לתיקים קטנים","0","","","","","","","","","","","","","","1","4","","female","3","married","unemployed","2","Jew","","Secular","","פרדסייה"
"13","2019-01-16 05:42:57","16/01/2019 2:56:03 pm","Complete","27","1","public_suit_individual_loss","","0","","5","-99","","","3","","לדעתי הסכום גבוהה מידי, אבל זה טוב כנגד תביעות סרק","","0","","","","","","","","","","","","","","1","6","הפיצוי צריך להיות גבוהה מאוד כי האיכות חיים של האנשים נפגעה וגם הבריאות סביר להניח","male","4","married","hired","2","Jew","","Secular","","תל אביב -יפו"
"14","2019-01-16 07:10:06","16/01/2019 2:13:11 pm","Complete","20","1","public_suit_individual_loss","","0","","5","1","50","cash","4","","","","1","media","","","insurance","","labor","","spam","","","","","","0","2","","female","2","single","soldier","1","Jew","","Traditional","","קריית שמונה"
"15","2019-01-16 07:32:34","16/01/2019 2:38:02 pm","Complete","21","1","public_suit_individual_loss","","1","שופרסל","5","0","","","5","חוק חשוב מאד, נותן לאדם הפשוט יותר כוח בידיים ואפשרות להביע את דעותיו","","","0","","","","","","","","","","","","","","1","4","","female","4","single","hired","2","Jew","","Secular","","אשדוד"
"17","2019-01-16 08:20:09","16/01/2019 3:21:58 pm","Complete","23","1","public_suit_individual_loss","","0","","4","1","5000","cheque","4","","","","1","","","","","","","","","","","authorities","","","0","4","","male","2","married","hired","3","Jew","","Traditional","","נצרת עילית"
"18","2019-01-16 08:28:17","16/01/2019 3:32:17 pm","Complete","28","1","public_suit_individual_loss","","0","","3","0","","","3","","אני לא מספיק בקיא בתחום ולכן אין לי עמדה ברורה בנושא. איני יודע כמה תביעות סרק יש ביחס לתביעות עם בסיס.","","0","","","","","","","","","","","","","","1","4","","male","5","married","hired","2","Jew","","Religious","","ירושלים"
"19","2019-01-16 08:39:29","16/01/2019 3:41:57 pm","Complete","33","1","public_suit_individual_loss","","0","","4","1","30","cheque","4","","","","0","","","","","","","","","","","","","","0","3","","male","3","married","hired","3","Jew","","Secular","","חיפה"
"20","2019-01-16 08:39:30","16/01/2019 3:49:58 pm","Complete","56","1","state_neglect","","0","","3","-99","","","3","","מה שזכור לי שהאזרח הקטן קיבל כביכול תמורה של שקלים בודדים שבודאי גלגלו אותה על הצרכן ממילא ","","0","","","","","","","","","","","","","","1","99","","male","3","married","hired","3","Jew","","Traditional","","מעלה אדומים"
"21","2019-01-16 08:42:50","16/01/2019 3:50:11 pm","Complete","51","1","public_suit_individual_loss","","0","","3","0","","","1","","","עוד דרך לסחוט כסף מהציבור, אפילו להגן על הזכויות שלנו אי אפשר בלי לגבות על זה כסף רב","0","","","","","","","","","","","","","","1","4","","female","4","divorced_separated","hired","5","Jew","","Secular","","ירושלים"
