"Response ID","Set Number:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","Card Number:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","שיטת הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","סכום הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","אופן קבלת הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","Score:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  "
"10","1","1","push","75","another_product","0"
"10","1","2","push","50","credit_cart","0"
"10","1","3","push","25","bank_cheque","100"
"10","2","1","push","100","refund_next_purchase","0"
"10","2","2","pull","25","coupon","100"
"10","2","3","pull","100","credit_cart","0"
"10","3","1","push","75","coupon","0"
"10","3","2","pull","100","refund_next_purchase","0"
"10","3","3","push","50","bank_cheque","100"
"10","4","1","pull","25","another_product","0"
"10","4","2","push","75","bank_cheque","100"
"10","4","3","push","100","coupon","0"
"10","5","1","pull","50","credit_cart","100"
"10","5","2","pull","25","refund_next_purchase","0"
"10","5","3","pull","75","another_product","0"
"11","1","1","push","100","another_product","100"
"11","1","2","pull","25","credit_cart","0"
"11","1","3","pull","75","refund_next_purchase","0"
"11","2","1","push","25","bank_cheque","0"
"11","2","2","pull","100","coupon","100"
"11","2","3","pull","50","credit_cart","0"
"11","3","1","pull","75","coupon","100"
"11","3","2","pull","50","bank_cheque","0"
"11","3","3","push","75","refund_next_purchase","0"
"11","4","1","pull","100","another_product","0"
"11","4","2","pull","25","coupon","0"
"11","4","3","push","50","bank_cheque","100"
"11","5","1","pull","75","another_product","0"
"11","5","2","push","100","credit_cart","100"
"11","5","3","push","50","another_product","0"
"12","1","1","push","75","another_product","100"
"12","1","2","pull","50","coupon","0"
"12","1","3","pull","25","credit_cart","0"
"12","2","1","push","100","refund_next_purchase","100"
"12","2","2","pull","25","bank_cheque","0"
"12","2","3","pull","50","refund_next_purchase","0"
"12","3","1","pull","75","bank_cheque","0"
"12","3","2","push","100","another_product","0"
"12","3","3","push","75","coupon","100"
"12","4","1","push","50","credit_cart","0"
"12","4","2","push","25","coupon","0"
"12","4","3","pull","100","credit_cart","100"
"12","5","1","push","75","bank_cheque","100"
"12","5","2","pull","25","refund_next_purchase","0"
"12","5","3","pull","50","another_product","0"
"13","1","1","push","75","another_product","0"
"13","1","2","push","100","credit_cart","100"
"13","1","3","pull","50","refund_next_purchase","0"
"13","2","1","pull","100","coupon","0"
"13","2","2","push","50","bank_cheque","100"
"13","2","3","push","75","coupon","0"
"13","3","1","push","50","refund_next_purchase","100"
"13","3","2","pull","25","bank_cheque","0"
"13","3","3","pull","25","another_product","0"
"13","4","1","pull","75","credit_cart","0"
"13","4","2","pull","25","refund_next_purchase","0"
"13","4","3","pull","100","bank_cheque","100"
"13","5","1","pull","50","credit_cart","100"
"13","5","2","pull","25","coupon","0"
"13","5","3","push","100","another_product","0"
"14","1","1","push","75","another_product","0"
"14","1","2","push","100","coupon","100"
"14","1","3","pull","25","bank_cheque","0"
"14","2","1","push","100","refund_next_purchase","100"
"14","2","2","push","75","credit_cart","0"
"14","2","3","pull","25","coupon","0"
"14","3","1","push","100","credit_cart","0"
"14","3","2","push","75","refund_next_purchase","100"
