"Response ID","Time Started","Date Submitted","Status","q1_screening_class_action_5years","q2_new_regulations","q3_supreme_court_pro_class:q_item_","q4_legal_fees:q_item_","q5_file_dismissal_legal_fees:q_item_","q6_class_amount:q_item_","q7_attorney_general_position:q_item_","q8_defend_public:q_item_","גיל רון קינן ושות':q9_prosecutors","אייל גולדנברג:q9_prosecutors","שפירא בר אור מצקין:q9_prosecutors","שפיגלמן:q9_prosecutors","אבי רוקח:q9_prosecutors","בך - לדרמן:q9_prosecutors","גורודיסקי:q9_prosecutors","גרימברג - ורד:q9_prosecutors","ואנונו - זקבך:q9_prosecutors","מוסקוביץ – אזרואל:q9_prosecutors","יצחק אבירם:q9_prosecutors","קלעי רוזן:q9_prosecutors","אסף פינק:q9_prosecutors","רונן עדיני:q9_prosecutors","טנוס והאני ניזאר:q9_prosecutors","מסאלחה אחמד:q9_prosecutors","יוחי גבע:q9_prosecutors","פדלון&לופו:q9_prosecutors","גולן נפתלי:q9_prosecutors","מאור בן דוד:q9_prosecutors","שקד דדוש:q9_prosecutors","אורלי בן עמי:q9_prosecutors","זילברברג מלין:q9_prosecutors","לירון פרמינגר:q9_prosecutors","יונתן רפפורט:q9_prosecutors","אנגור דוד:q9_prosecutors","אמיר ישראלי:q9_prosecutors","רענן בשן:q9_prosecutors","איתי ליבנה:q9_prosecutors","פירט וילנסקי:q9_prosecutors","אסף שילה:q9_prosecutors","חן שטיין:q9_prosecutors","דוד מזרחי:q9_prosecutors","דן אשכנזי:q9_prosecutors","חן שטיין:q9_prosecutors","חן יערי רוזן עם גלעד ברנע:q9_prosecutors","אורי ברעם:q9_prosecutors","עובדיה כהן:q9_prosecutors","רם דקל:q9_prosecutors","שמש מנור:q9_prosecutors","אחר, פרט::q9_prosecutors","אחר, פרט::q9_prosecutors","הרצוג פוקס נאמן:q10_defendant","מיתר ליקוורניק:q10_defendant","גולדפרב זליגמן:q10_defendant","שבלת עם ראבד מגריזו:q10_defendant","פישר בכר חן וול אוריון:q10_defendant","מ.פירון:q10_defendant","גורנציקי:q10_defendant","יגאל ארנון:q10_defendant","נשיץ ברנדס אמיר:q10_defendant","ש.הורוביץ:q10_defendant","גרוס קלינדהנדלר:q10_defendant","פרל כהן לצר צדק ברץ:q10_defendant","עמית פולק מטלון:q10_defendant","עמר רייטר זאן:q10_defendant","ארדינסט בן נתן טולידנו ושות:q10_defendant","זיסמן אהרוני גייר:q10_defendant","בלטר גוט אלוני:q10_defendant","תדמור ושות פרופ' יובל לוי ושת:q10_defendant","אגמון ושות רוזנברג הכהן ושות:q10_defendant","דורון טיקוצקי קנטור:q10_defendant","ברנע:q10_defendant","ליפא מאיר:q10_defendant","ש.פרידמן:q10_defendant","יהודה רווה:q10_defendant","וקסלר ברגמן:q10_defendant","לויתן שרון:q10_defendant","יוסי לוי:q10_defendant","הררי טויסטר:q10_defendant","חיים פרוכרטר:q10_defendant","אליאס בן אריה:q10_defendant","בועז בן צור:q10_defendant","בן ארי פיש:q10_defendant","איתן מהולל שדות:q10_defendant","ברקמן וקלסר בלום:q10_defendant","רון גזית רוטנברג:q10_defendant","ויינברגר ברטנטל:q10_defendant","אחר, פרט::q10_defendant","אחר, פרט::q10_defendant","q11_judge_support","q12_judge_opposed","q13_new_law","אחר, פרט::q13_new_law","q14_court","צרכנות:q15_subject_profit","ביטוח:q15_subject_profit","בנקאות:q15_subject_profit","הגבלים עסקיים:q15_subject_profit","ניירות ערך:q15_subject_profit","מפגעים סביבתיים:q15_subject_profit","חוק איסור אפליה:q15_subject_profit","נגישות לאנשים עם מוגבלות:q15_subject_profit","דיני עבודה:q15_subject_profit","תביעות נגד רשויות:q15_subject_profit","חוק הספאם:q15_subject_profit","q16_favourable_end","q17_manage_suit","q18_representation","q19_unjustified_specify","city","status","אחר::status"
"3","2019-01-14 08:20:57","14/01/2019 3:26:43 pm","Complete","1","2","2","2","4","5","3","5","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","אסף פינק","","טנוס והאני ניזאר","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","הרצוג פוקס נאמן","מיתר ליקוורניק","גולדפרב זליגמן","","","","","","","","","","","","","","","","","","","","ש.פרידמן","","","","","","","","","","","ברקמן וקלסר בלום","","","","","שושנה אלמגור","הדס  עובדיה","public_housing","","מחוזי חיפה","צרכנות","","","","","מפגעים סביבתיים","","","","","","verdict","coop_office","prosecutors","תובענה שהתשתית המשפטית שלה מוטעית ולא היה מקום להגישה מלכתחילה משום שאין בה כל הפרה של זכויות התובע. ","חיפה","partner",""
"5","2019-01-14 08:21:05","14/01/2019 3:27:21 pm","Complete","1","1","2","3","1","5","2","5","","","","","","","","","","","יצחק אבירם","","","","","","","","","","","","","","","","","","","פירט וילנסקי","","","","","","","","","רם דקל","","","","","","","","","","","","","ש.הורוביץ","","","עמית פולק מטלון","","","","","","אגמון ושות רוזנברג הכהן ושות","דורון טיקוצקי קנטור","","","","","","","","","","","","","","","","","","","מיכל נד''ב","יגאל גריל","privacy","","מחוזי מרכז","","","","","","","","","","תביעות נגד רשויות","","settlement","single_office","both","אין עמדה","תל אביב -יפו","owner",""
"6","2019-01-14 08:21:12","17/01/2019 12:21:56 pm","Partial","1","3","5","4","3","4","4","4","","אייל גולדנברג","","","","","גורודיסקי","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","אסף שילה","","","","","","","","","","אחר, פרט:","עופר לוי","","","","","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","הדס  עובדיה","יחזקאל קינר","","","","","","","","","","","","","","","","","","","","",""
"7","2019-01-14 08:21:17","14/01/2019 3:26:50 pm","Complete","1","2","1","1","3","2","2","3","גיל רון קינן ושות'","","","","","בך - לדרמן","גורודיסקי","","","","יצחק אבירם","","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","גולדפרב זליגמן","","פישר בכר חן וול אוריון","","גורנציקי","","נשיץ ברנדס אמיר","ש.הורוביץ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","רחמים כהן","מיכל נד''ב","privacy","","מחוזי מרכז","","","","הגבלים עסקיים","","","","","","","","legal_mediation","coop_office","prosecutors","תובענה שבה נדרש פיצוי לפי חוק בתביעה ייצוגית או פיצוי על פגיעה באוטונומיה","פתח תקווה","partner",""
"8","2019-01-14 08:21:22","14/01/2019 3:28:13 pm","Complete","1","2","3","2","3","4","4","4","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","","רונן עדיני","","","","","","","","","","","","","","","","פירט וילנסקי","","","","","","","","עובדיה כהן","","","","","","מיתר ליקוורניק","","שבלת עם ראבד מגריזו","פישר בכר חן וול אוריון","","","","","","","","","","","","","","","","","","","","","","","","","","בועז בן צור","","","ברקמן וקלסר בלום","","","","","שושנה אלמגור","מנחם רניאל","education","","מחוזי ת""א","","ביטוח","","","ניירות ערך","","","","","","","legal_mediation","single_office","defendents","  תובענה בענין איזוטרי","תל אביב -יפו","partner",""
"9","2019-01-14 08:21:50","14/01/2019 3:22:05 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","2019-01-14 08:20:53","14/01/2019 3:26:46 pm","Complete","1","1","3","3","3","3","3","5","גיל רון קינן ושות'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ש.הורוביץ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","רות רונן","גילה כנפי-שטייניץ","old_age","","מחוזי מרכז","","","בנקאות","","","","","","","","","settlement","coop_office","prosecutors","תובענה של גרם פה גרם שם באריזות","תל אביב","owner",""
"11","2019-01-14 08:22:02","14/01/2019 3:24:32 pm","Partial","1","1","3","4","","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","2019-01-14 08:21:43","14/01/2019 3:27:22 pm","Complete","1","2","4","4","5","4","2","4","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","מוסקוביץ – אזרואל","","קלעי רוזן","","","","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","","","","","פישר בכר חן וול אוריון","","","יגאל ארנון","","ש.הורוביץ","","","","","ארדינסט בן נתן טולידנו ושות","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","יחזקאל קינר","הדס  עובדיה","old_age","","מחוזי חיפה","","","","הגבלים עסקיים","ניירות ערך","","","","","","","settlement","single_office","defendents","תובענה שאין בה תשתית ראייתית","תל אביב -יפו","partner",""
"13","2019-01-14 08:21:54","14/01/2019 3:37:01 pm","Complete","1","2","2","3","2","4","3","4","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","אסף שילה","","","","","","","","","שמש מנור","","","","מיתר ליקוורניק","","","","","","","","","","","","עמר רייטר זאן","ארדינסט בן נתן טולידנו ושות","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","וקסלר ברגמן","","","","","","","","","","","","","","שושנה אלמגור","צילה צפת","old_age","","מחוזי ת""א","צרכנות","ביטוח","","","","","","","","","","settlement","no_preference","defendents","תובענה שניכר כי עניינה טעות זניחה, שניתן היה לרפא אותה בפניה מוקדמת ","הרצליה","partner",""
